	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
ETV4	-0.12684521777840163	-0.07213811427748157	-1.0998058947725966	0.2727219078748808	0.34785548440227854	0.4586011450248321
THRA	0.15717465497517152	0.27617433069769703	-1.132910525505815	0.2584095287091505	0.33269563552492276	0.4779528963956057
MYBL2	0.09385239958511746	0.28691635740704413	-1.1361333289495172	0.2575382576300856	0.33225614718943136	0.47852697527386046
FLI1	-0.029572960669167803	0.007981984479015151	-1.136984381173538	0.25684541692690693	0.33204551837767143	0.47880237706339074
ZNF267	-0.05821935538860887	0.14095102562120987	-1.1775603832076325	0.23980484110092778	0.3112994521123845	0.5068216436759091
YY1	-0.00634071823817738	0.012683340263248763	-1.1887124773414224	0.2356924526829571	0.3078732663171127	0.5116280207266325
GFI1	0.05175125553040446	0.17284126129513902	-1.1914075698412114	0.2345824628346692	0.3070630567794104	0.5127724310397064
EHF	-0.3335917764106134	-0.07859671295196972	-1.2177036816516011	0.22454161817859922	0.29639493599575095	0.5281292206923356
ELL	-0.4296682005553548	-0.32978764106898045	-1.2478498545083214	0.21347703010519084	0.283580715838887	0.5473233055394405
SIRT1	-0.07031734010135192	-0.038309326710185165	-1.306426220240234	0.1926677309568741	0.25812535749991466	0.5881693295074842
BCL6	-0.06118797625330984	-0.020090659017594967	-1.3152897159514243	0.18989994609932961	0.25496202613336116	0.5935244982672936
HDAC1	-0.03430389415915304	-0.0002812469740079854	-1.3456493326697294	0.18000773962425662	0.24376858044148791	0.6130222717292373
MBD1	-0.1274356242747877	-0.053478644740894685	-1.3474379191818349	0.17907551093276167	0.24303105055160512	0.6143382357772711
IRF5	-0.03735661833299625	0.0034627211053595264	-1.3604405619464983	0.17474519084576493	0.23922540318841617	0.6211927047891198
ARNTL	-0.07933134652709334	-0.0002899160315136081	-1.36252920060406	0.17429338096834854	0.2391289931447583	0.6213677647482152
NR4A2	-0.26257604926737377	0.08359742571944828	-1.39190017585519	0.16541160749036277	0.2274409602992488	0.6431313196393507
DAXX	0.030379245618156716	0.09837992085672335	-1.424192174964587	0.15567245200751442	0.21546716867265242	0.6666188951113527
TOB1	0.1005556838914518	0.1782640402983121	-1.4515328115531625	0.14792413653599085	0.20565062884271898	0.6868699581581842
RFX5	-0.06502798089667644	0.2534093911388405	-1.4691897217111378	0.14306543976619301	0.19978180564232298	0.6994440660046253
PIAS2	-0.012641068468853033	0.08642993727628043	-1.4982264711200353	0.13567132607297147	0.1898792889458775	0.7215224032832539
LIMD1	0.016519311675597535	0.18174853949880324	-1.5101374731288493	0.13202708304502278	0.18519235138530044	0.7323769540458391
RELA	-0.043228599431763055	-0.024165854032600274	-1.5385006240028525	0.12537616178212824	0.1766536032300998	0.7528774997689609
SOX2	-0.071046358795352	-0.015325592972867856	-1.5571629634230186	0.12108619806847447	0.17176707282564138	0.765060085328297
SP1	-0.0470101628439671	-0.03119410143808764	-1.561968266525981	0.11988567881690235	0.1704497066172285	0.7684037419541772
HDAC5	-0.007924040502885962	0.05484919903771874	-1.5790599910672722	0.1156252306542996	0.16514127476138005	0.782144367313703
MED23	-0.10729651773202593	-0.03238490423398579	-1.5922114001954513	0.1123073115249639	0.16090514258508146	0.7934300754744127
NR2F6	-0.152682921173328	-0.0782027361092378	-1.61790087253079	0.10696540453150576	0.1538241023881975	0.8129756104768269
URI1	-0.3605210670607359	-0.18492405716299498	-1.6918581722412722	0.09212853883638922	0.13402457969934117	0.8728155460466444
FOXH1	-0.3605210670607359	-0.18492405716299498	-1.6918581722412722	0.09212853883638922	0.13402457969934117	0.8728155460466444
NCOA2	-0.3605210670607359	-0.18492405716299498	-1.6918581722412722	0.09212853883638922	0.13402457969934117	0.8728155460466444
HEYL	-0.3605210670607359	-0.18492405716299498	-1.6918581722412722	0.09212853883638922	0.13402457969934117	0.8728155460466444
ESRRG	-0.02593801454906826	0.10159114969000826	-1.717745272998414	0.087056053412551	0.12783172245824234	0.893361359174462
POU1F1	0.022064921606496445	0.08190135299573312	-1.7178398256187797	0.08699006046220603	0.12783172245824234	0.893361359174462
NFKB2	-0.10804386797333096	-0.01806694394303824	-1.7228674282334389	0.08585851937300114	0.12666656858087463	0.8973379944039159
IKZF1	-0.1489218380621784	0.06243645597429455	-1.7277119074371265	0.08522885771661146	0.126034183463008	0.8995116479306676
CTCF	-0.10329888620788816	-0.04023677837438058	-1.7721388421232394	0.07746888511230086	0.1163185614204591	0.9343509776251664
PAX8	-0.15799169266555543	-0.07729819656429467	-1.7730746123061454	0.0775457076136394	0.1163185614204591	0.9343509776251664
DACH1	-0.13347350927559323	0.01802914239097215	-1.7801226146586207	0.07650221456200462	0.11558286392861902	0.9371065487259578
HOXD9	-0.09517165324299823	-0.043228804289917454	-1.7880268424289363	0.07481269648496124	0.11367061306243699	0.9443517977082083
ARNT	-0.09363348867913512	-0.015163862171333453	-1.8062009034551476	0.07213314857525241	0.1101162225772197	0.9581486950448447
FOSB	-0.7466700254012721	-0.4443148487817028	-1.850893803228189	0.06531730914367918	0.10013191401732725	0.9994274822345164
SREBF1	-0.042045184165706795	0.03184797317329944	-1.8766060029271974	0.06149831101115754	0.09497399262067927	1.0223953042654814
ARNTL2	-0.5219612876913796	-0.22268485228082932	-1.894691544480471	0.059095149756047856	0.09148804665936297	1.0386356448296832
