	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
TBX5	-0.16001930833598982	-0.1852492770010923	0.39631763544489423	0.6923761158652435	0.7563063147169123	0.12130227348295966
PA2G4	0.14734071246399144	0.08693160075733113	0.3817566109039652	0.703290270070168	0.7668921727547745	0.11526569481187483
NR2F1	0.08899852712158775	0.06669835298445104	0.3576400540982556	0.7211625630325702	0.7836549861723077	0.10587509877045816
HDAC5	0.0009372682376697123	-0.0140272761286607	0.3527383639287954	0.7248093260404633	0.7859543980846095	0.10460265146027528
TBPL1	-0.06696473599836762	-0.08383906141648981	0.3500371385231285	0.7268967139363198	0.7859543980846095	0.10460265146027528
TRRAP	-0.2477425108237598	-0.2865487414049365	0.349714572837183	0.7270391561229242	0.7859543980846095	0.10460265146027528
SOX11	-0.0012790182193113512	-0.023309013528952212	0.34268147413703404	0.732312509471477	0.7902925016155181	0.10221213867630444
KLF13	0.08283394287461006	0.058086209859552936	0.32404712404724145	0.746407617055532	0.8027402673993458	0.09542495121195134
FOXL1	0.08527999193527892	0.02183520135637112	0.3143267132776593	0.7538464565019136	0.8093522743607874	0.09186240853458619
SMARCA1	-0.4237443574667435	-0.4543546091508946	0.2606647568328121	0.7946633691467522	0.8430692596531533	0.07413674583833746
SMARCB1	-0.4237443574667435	-0.4543546091508946	0.2606647568328121	0.7946633691467522	0.8430692596531533	0.07413674583833746
ARNTL	0.06933421759556706	0.04995832057149598	0.25347664788160484	0.8003115031024003	0.8476272169682517	0.07179510671660731
ZFHX3	0.12593858983848416	0.10571175735339923	0.24370111099436545	0.8079108779401546	0.8513615470058435	0.06988596926377713
ID2	-0.02810045726029993	-0.041510385047725196	0.20264243908816446	0.8397055497153687	0.8760322457097107	0.05747990767204317
PIAS2	0.0778781629775731	0.06622567429264148	0.17576559482098086	0.8607037017182739	0.892002018144393	0.04963416303645312
NFATC3	0.2325144417163652	0.20628235782000434	0.14806324913271057	0.8825087493384133	0.9100871477552387	0.040917018693141606
IKBKB	0.007314840218807558	-0.005417511560336229	0.13989197181729496	0.8889152674347355	0.9136774260349272	0.03920710494439092
NR2F6	-0.029727874151032865	-0.038407611946476274	0.1377118927508515	0.8907025717946468	0.9136774260349272	0.03920710494439092
TAF4	-0.03628333737020888	-0.03946681882555185	0.0931072611170214	0.9259438548102215	0.9424785665032612	0.025728517573315828
NKX2-1	0.08109923552843289	0.076424562156114	0.0709069073261713	0.9435802908788362	0.9588733263874073	0.018238762260648515
ZMYND11	0.21707987964459527	0.20666308282873416	0.06663932396293835	0.9469540504181009	0.9591925518774624	0.01809420218931324
GBX2	0.21707987964459527	0.20666308282873416	0.06663932396293835	0.9469540504181009	0.9591925518774624	0.01809420218931324
PARP1	0.014246871277571826	0.011738969877371823	0.06340062424402394	0.9495482787349685	0.9602689851077827	0.017607097809188517
HINFP	0.05746738223056667	0.05521582529029253	0.053570510974457405	0.9573440992413733	0.966593800683319	0.01475599456612221
ETS1	-0.048616983542344526	-0.04962168837617478	0.03218124907762834	0.974382862874307	0.9817540532752552	0.007997297023224673
HOXC9	0.07952099099843125	0.07888894927247869	0.014968724707508757	0.988080265869764	0.9912421227205472	0.0038202509455549927
HOXC10	0.07952099099843125	0.07888894927247869	0.014968724707508757	0.988080265869764	0.9912421227205472	0.0038202509455549927
SIRT2	-0.15482123886271926	-0.1544598922431798	-0.003659065850739683	0.9970865386904739	0.9970865386904739	0.0012671469594161832
NANOG	0.03148331482551917	0.031656508475315204	-0.0053746267238772944	0.9957194686369041	0.9970865386904739	0.0012671469594161832
RARA	-0.07519674660669264	-0.07376965002253892	-0.030784372728290006	0.9754908695223031	0.9817540532752552	0.007997297023224673
TFCP2	0.043124729107753	0.059129367408937934	-0.10395927073686584	0.917358212333647	0.9352578847694255	0.02906862175855385
ELF3	-0.02988297153136679	-0.019378808896398664	-0.10892253986559734	0.913419694233243	0.9327591991600055	0.030230459119373672
MAZ	-0.06575090991183775	-0.05810464684103462	-0.1128687528249319	0.9103153581485259	0.9311055947130925	0.03100106380843343
PHOX2A	0.06857939752046437	0.07567649762702591	-0.136262168931838	0.8918191144072973	0.9136774260349272	0.03920710494439092
ID1	-0.03929875605092502	-0.026212740941296657	-0.14435884968995308	0.8854152115774815	0.9115851193088357	0.04020277284533356
FOXA1	-0.0713780737276149	-0.06615825359618449	-0.16039237406031354	0.8727501080950952	0.9015062895809304	0.04503123896846451
LMO3	-0.07122827632083172	-0.06483307513976606	-0.16171250001495957	0.8718129842315145	0.9015062895809304	0.04503123896846451
PCBD1	-0.24084297229268942	-0.19796059261434637	-0.18584057653089125	0.8528375794834426	0.8853131826756929	0.052903068909616824
HSF4	0.021281439855587485	0.03544784241512973	-0.18598610899778714	0.8527375450511757	0.8853131826756929	0.052903068909616824
EAF1	-0.08324771859567215	-0.07619627962964882	-0.18999375437670132	0.8496325766898303	0.884916321568976	0.05309779461179654
PAX6	-0.07097530116430117	-0.05757685641783257	-0.22641230005878726	0.8211516322234224	0.8581034556734763	0.0664603490749098
ELL	-0.06984170664482547	-0.050893510965400464	-0.22860179328276406	0.8196230184791335	0.8579359475566223	0.06654513483322962
FOXP2	0.010798280468777538	0.025695742342720974	-0.23225524042816936	0.8166573508451505	0.8562611354179086	0.06739376759399326
RELA	-0.041110004582127456	-0.038184491302904584	-0.2358563643731966	0.8139086184927462	0.8548085490702712	0.06813114304110122
HAND2	0.0014583139708614684	0.013754660606772077	-0.23856994538626003	0.8117777996706107	0.8540011415997867	0.06854154876046037
SPIC	-0.10965884859689463	-0.09899278008189545	-0.24452127885291017	0.8071768705490607	0.8513615470058435	0.06988596926377713
STAT6	-0.12563024050476282	-0.11568719597291609	-0.24907808407792933	0.8037358399281216	0.8498185019138823	0.07067381785507978
SKIL	0.01775331414755812	0.04128097791067867	-0.26367548559612636	0.7924687385130806	0.8430692596531533	0.07413674583833746
MTA1	-0.07033687638652719	-0.06223800329696375	-0.26416589928893885	0.7920404819216653	0.8430692596531533	0.07413674583833746
MLLT3	-0.06775270185779982	-0.04408741779780006	-0.2739927887964502	0.7846247715110101	0.8380915361795628	0.07670854522812856
ELK4	-0.0014880207364349816	0.06271735245798499	-0.2771596723639988	0.7821690251765325	0.8368941617503172	0.07732946180862849
RB1CC1	-0.12928484484308791	-0.10978872312744749	-0.31056094531260436	0.7566690856793599	0.8109940456768524	0.09098233436982966
MYOG	-0.013023086888728282	0.0023100514340419214	-0.3336545430542214	0.739254421361218	0.7964132683736833	0.09886151316814247
PIAS4	-0.4248944592266242	-0.3695246812061357	-0.3757505870683768	0.7076959293009588	0.7703565063744812	0.11330824506158496
NCOA6	-0.16936875298940998	-0.11117887080340494	-0.4409820581608216	0.6600972053707028	0.7235680905025013	0.14052059386342952
HMGA1	-0.01218408916129465	0.009117403732196043	-0.464127161759891	0.6434427953014575	0.7102792828415737	0.14857085248097832
GTF3A	0.02755631150007394	0.11843214230931065	-0.48006828312796895	0.631983661609868	0.7001933299830805	0.15478203062516996
GATA2	-0.059478991900600665	-0.03866284964250852	-0.5102255736078292	0.6108950415216035	0.6815501619822871	0.16650217464897007
