	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
PCBD1	0.685	-0.085	4.692	4.119e-06	1.832e-05	4.737	-0.241	-0.198	-0.186	8.528e-01	8.853e-01	0.053
PCGF2	0.062	0.044	0.453	6.509e-01	7.048e-01	0.152	-0.024	0.022	-1.039	3.005e-01	3.784e-01	0.422
PDX1	0.041	-0.056	1.957	5.117e-02	8.001e-02	1.097	0.145	-0.044	2.880	4.668e-03	1.080e-02	1.967
PER1	-0.318	-0.028	-5.306	2.204e-07	1.291e-06	5.889	-0.058	0.044	-1.607	1.106e-01	1.643e-01	0.784
PER2	-0.559	0.011	-4.341	1.936e-05	7.140e-05	4.146	-0.506	0.207	-3.243	1.539e-03	4.073e-03	2.390
PGR	-0.218	-0.013	-6.380	9.164e-10	9.577e-09	8.019	-0.013	0.069	-1.902	6.003e-02	9.601e-02	1.018
PHB2	-0.832	-0.252	-6.598	2.789e-10	3.180e-09	8.498	-0.630	-0.069	-6.280	5.170e-09	6.754e-08	7.170
PHOX2A	-0.034	-0.085	1.020	3.086e-01	3.847e-01	0.415	0.069	0.076	-0.136	8.918e-01	9.137e-01	0.039
PHOX2B	0.159	-0.047	3.456	6.566e-04	1.767e-03	2.753	-0.051	-0.079	0.448	6.548e-01	7.203e-01	0.142
PIAS1	0.272	0.018	3.745	2.258e-04	6.741e-04	3.171	0.692	-0.006	6.625	1.131e-09	1.649e-08	7.783
PIAS2	-0.013	0.086	-1.498	1.357e-01	1.899e-01	0.722	0.078	0.066	0.176	8.607e-01	8.920e-01	0.050
PIAS3	-0.782	-0.160	-7.254	9.296e-12	1.501e-10	9.824	-0.695	-0.231	-4.186	5.406e-05	2.260e-04	3.646
PIAS4	-0.463	-0.011	-3.574	4.581e-04	1.300e-03	2.886	-0.425	-0.370	-0.376	7.077e-01	7.704e-01	0.113
PITX1	-0.185	0.005	-6.054	5.208e-09	4.032e-08	7.395	-0.287	-0.062	-5.450	2.682e-07	1.869e-06	5.728
PITX2	-0.225	0.090	-6.844	6.335e-11	8.107e-10	9.091	-0.281	-0.091	-3.548	5.599e-04	1.640e-03	2.785
PITX3	0.145	0.001	2.889	4.266e-03	9.098e-03	2.041	0.100	0.069	0.529	5.975e-01	6.701e-01	0.174
PKNOX1	0.034	0.069	-0.611	5.417e-01	6.033e-01	0.219	0.546	0.168	5.124	1.214e-06	7.610e-06	5.119
PLAG1	-0.265	-0.263	-0.021	9.832e-01	9.895e-01	0.005	0.030	-0.091	1.171	2.436e-01	3.222e-01	0.492
PLAGL1	0.198	-0.006	4.085	6.237e-05	2.091e-04	3.680	0.255	0.065	3.344	1.087e-03	2.989e-03	2.524
PLAGL2	0.255	0.111	1.991	4.751e-02	7.504e-02	1.125	0.146	-0.002	2.004	4.692e-02	7.662e-02	1.116
PML	0.083	0.088	-0.139	8.893e-01	9.141e-01	0.039	0.237	0.063	6.095	8.345e-09	1.026e-07	6.989
POLR1A	0.806	0.177	8.426	1.351e-14	3.682e-13	12.434	0.820	0.125	7.187	1.448e-10	2.929e-09	8.533
POU1F1	0.022	0.082	-1.718	8.699e-02	1.278e-01	0.893	0.135	-0.031	3.215	1.638e-03	4.316e-03	2.365
POU2AF1	-0.588	-0.267	-3.190	1.607e-03	3.876e-03	2.412	-0.781	-0.376	-3.355	1.086e-03	2.989e-03	2.524
POU2F1	-0.148	-0.112	-0.990	3.238e-01	3.980e-01	0.400	-0.285	-0.058	-7.692	5.421e-12	1.700e-10	9.770
POU2F2	-1.250	-0.480	-5.176	5.685e-07	2.971e-06	5.527	-1.434	-0.282	-6.276	1.010e-08	1.158e-07	6.936
POU3F2	-0.260	-0.056	-5.360	1.584e-07	9.548e-07	6.020	-0.084	0.084	-3.431	7.810e-04	2.246e-03	2.649
POU4F1	-1.281	-0.387	-7.982	1.716e-13	3.844e-12	11.415	-0.971	-0.139	-7.445	1.845e-11	5.257e-10	9.279
POU4F2	-1.380	-0.412	-5.893	2.086e-08	1.437e-07	6.843	-1.071	-0.078	-7.902	9.977e-13	3.475e-11	10.459
POU5F1	-0.024	-0.066	0.887	3.762e-01	4.536e-01	0.343	0.069	-0.025	1.868	6.372e-02	1.017e-01	0.993
PPARA	-0.137	0.004	-4.028	7.239e-05	2.414e-04	3.617	-0.259	-0.060	-5.514	1.553e-07	1.173e-06	5.931
PPARD	-0.107	0.112	-3.998	8.373e-05	2.778e-04	3.556	0.134	0.038	1.660	9.935e-02	1.501e-01	0.824
PPARG	0.034	0.053	-0.847	3.980e-01	4.735e-01	0.325	0.112	0.037	3.060	2.771e-03	6.786e-03	2.168
PPARGC1A	0.191	-0.096	4.466	1.145e-05	4.573e-05	4.340	0.011	-0.057	0.833	4.066e-01	4.884e-01	0.311
PRDM1	0.066	-0.246	4.165	4.111e-05	1.424e-04	3.846	0.641	-0.007	4.824	5.111e-06	2.762e-05	4.559
PROX1	0.067	0.050	0.464	6.433e-01	6.979e-01	0.156	0.105	0.023	1.639	1.038e-01	1.557e-01	0.808
PTMA	0.594	-0.119	3.426	7.164e-04	1.895e-03	2.722	0.592	-0.051	2.268	2.501e-02	4.468e-02	1.350
PTTG1	-0.296	-0.048	-4.837	2.746e-06	1.285e-05	4.891	-0.372	-0.140	-4.568	1.262e-05	6.135e-05	4.212
PURA	0.444	-0.001	4.676	5.162e-06	2.274e-05	4.643	0.835	0.060	6.446	2.015e-09	2.808e-08	7.552
RAD51	-0.384	-0.106	-4.551	8.353e-06	3.539e-05	4.451	-0.447	-0.042	-6.372	2.597e-09	3.540e-08	7.451
RARA	0.035	-0.011	1.357	1.761e-01	2.400e-01	0.620	-0.075	-0.074	-0.031	9.755e-01	9.818e-01	0.008
RARB	-0.012	-0.037	0.671	5.026e-01	5.682e-01	0.245	0.093	0.018	2.015	4.591e-02	7.516e-02	1.124
RARG	0.187	0.016	1.542	1.242e-01	1.755e-01	0.756	0.125	0.059	0.729	4.670e-01	5.452e-01	0.263
RB1	0.339	0.068	6.540	5.012e-10	5.418e-09	8.266	0.485	0.050	8.678	5.760e-14	2.778e-12	11.556
RB1CC1	-0.051	-0.180	2.499	1.312e-02	2.483e-02	1.605	-0.129	-0.110	-0.311	7.567e-01	8.110e-01	0.091
RBBP7	-0.533	0.087	-4.348	1.919e-05	7.140e-05	4.146	-0.784	-0.142	-4.171	5.559e-05	2.263e-04	3.645
RBL1	1.464	0.365	11.274	9.204e-23	2.886e-20	19.540	1.318	0.211	10.089	7.547e-17	1.618e-14	13.791
RBL2	1.118	0.177	10.480	3.939e-21	6.174e-19	18.209	1.091	0.231	8.204	7.412e-13	2.734e-11	10.563
RBMX	0.233	0.084	1.934	5.469e-02	8.530e-02	1.069	0.502	0.080	3.979	1.317e-04	4.856e-04	3.314
RBPJ	-0.076	0.012	-1.008	3.145e-01	3.890e-01	0.410	-0.006	0.042	-0.533	5.951e-01	6.687e-01	0.175
REL	0.301	0.144	2.785	5.843e-03	1.209e-02	1.918	0.078	-0.048	2.455	1.526e-02	2.899e-02	1.538
RELA	-0.043	-0.024	-1.539	1.254e-01	1.767e-01	0.753	-0.041	-0.038	-0.236	8.139e-01	8.548e-01	0.068
RELB	-0.262	0.024	-2.803	5.430e-03	1.135e-02	1.945	-0.307	0.043	-3.036	2.897e-03	7.013e-03	2.154
REST	0.107	0.051	2.197	2.899e-02	4.899e-02	1.310	0.094	0.007	3.118	2.253e-03	5.697e-03	2.244
RFWD2	-0.325	0.102	-2.172	3.101e-02	5.171e-02	1.286	-0.429	0.042	-2.784	6.171e-03	1.339e-02	1.873
RFX1	0.301	-0.119	4.556	9.202e-06	3.821e-05	4.418	0.932	-0.061	7.024	2.271e-10	4.068e-09	8.391
RFX3	-0.251	-0.081	-2.917	3.933e-03	8.503e-03	2.070	-0.244	-0.081	-3.410	8.454e-04	2.420e-03	2.616
RFX5	-0.065	0.253	-1.469	1.431e-01	1.998e-01	0.699	0.450	0.814	-1.243	2.162e-01	2.891e-01	0.539
RNF14	-1.479	-0.437	-4.112	6.101e-05	2.057e-04	3.687	-1.170	-0.016	-6.050	1.216e-08	1.336e-07	6.874
RREB1	-0.530	-0.154	-3.279	1.192e-03	2.943e-03	2.531	-0.507	-0.026	-3.088	2.500e-03	6.157e-03	2.211
RUNX1	0.221	0.062	5.883	1.604e-08	1.156e-07	6.937	0.136	0.010	4.283	3.681e-05	1.637e-04	3.786
RUNX2	0.375	-0.004	6.471	4.117e-10	4.610e-09	8.336	0.517	-0.079	5.582	1.547e-07	1.173e-06	5.931
RUNX3	0.081	0.093	-0.352	7.249e-01	7.730e-01	0.112	0.191	0.026	4.927	3.036e-06	1.813e-05	4.742
RUVBL1	-0.450	-0.009	-3.491	5.793e-04	1.586e-03	2.800	0.667	0.028	4.559	1.365e-05	6.484e-05	4.188
RXRA	-0.063	-0.093	0.715	4.754e-01	5.429e-01	0.265	0.006	-0.054	1.147	2.534e-01	3.315e-01	0.479
SALL3	-0.865	-0.152	-4.743	3.411e-06	1.561e-05	4.807	-0.744	-0.136	-3.828	1.848e-04	6.402e-04	3.194
SALL4	-0.380	-0.047	-5.661	4.028e-08	2.687e-07	6.571	-0.327	-0.046	-4.195	5.259e-05	2.213e-04	3.655
SALL4A	-0.096	0.333	-2.993	3.023e-03	6.817e-03	2.166	-0.173	0.372	-2.832	5.404e-03	1.206e-02	1.919
SATB1	-0.501	-0.152	-9.352	3.022e-18	2.369e-16	15.625	-0.411	-0.081	-7.100	8.444e-11	2.036e-09	8.691
SATB2	-0.155	-0.024	-2.352	1.933e-02	3.414e-02	1.467	-0.099	0.125	-2.936	3.971e-03	9.290e-03	2.032
SERTAD1	-0.771	0.024	-5.583	6.980e-08	4.420e-07	6.355	-1.196	-0.318	-5.404	3.420e-07	2.312e-06	5.636
SETBP1	-0.117	-0.030	-0.866	3.872e-01	4.634e-01	0.334	1.074	0.627	2.900	4.498e-03	1.045e-02	1.981
SF1	0.433	-0.002	8.029	7.429e-14	1.725e-12	11.763	0.354	0.009	5.285	5.516e-07	3.566e-06	5.448
SFPQ	-0.313	-0.028	-5.093	7.669e-07	3.941e-06	5.404	-0.431	-0.148	-4.067	9.002e-05	3.484e-04	3.458
SHOX	-0.073	-0.121	0.491	6.239e-01	6.803e-01	0.167	-0.189	-0.088	-1.011	3.140e-01	3.922e-01	0.406
SIM2	-0.118	-0.080	-0.788	4.318e-01	5.060e-01	0.296	0.110	0.014	1.402	1.624e-01	2.263e-01	0.645
SIN3A	0.138	0.012	1.876	6.194e-02	9.542e-02	1.020	0.157	0.050	1.343	1.819e-01	2.501e-01	0.602
SIRT1	-0.070	-0.038	-1.306	1.927e-01	2.581e-01	0.588	0.033	-0.010	1.549	1.240e-01	1.809e-01	0.743
SIRT2	-0.380	-0.351	-0.296	7.678e-01	8.119e-01	0.091	-0.155	-0.154	-0.004	9.971e-01	9.971e-01	0.001
SIX1	-0.285	0.045	-3.294	1.128e-03	2.818e-03	2.550	-0.157	-0.045	-1.063	2.898e-01	3.679e-01	0.434
SKI	0.409	0.302	1.465	1.443e-01	2.010e-01	0.697	-0.180	0.040	-2.356	2.036e-02	3.710e-02	1.431
SKIL	0.104	0.163	-0.804	4.221e-01	4.965e-01	0.304	0.018	0.041	-0.264	7.925e-01	8.431e-01	0.074
SLC2A4RG	-0.022	-0.042	0.844	3.992e-01	4.741e-01	0.324	0.230	0.023	5.638	1.003e-07	7.962e-07	6.099
SMAD3	-0.054	0.029	-2.115	3.546e-02	5.820e-02	1.235	-0.111	-0.010	-2.345	2.077e-02	3.775e-02	1.423
SMAD4	0.133	0.158	-0.465	6.427e-01	6.979e-01	0.156	-0.117	0.026	-2.245	2.668e-02	4.712e-02	1.327
SMAD7	0.091	0.035	0.917	3.603e-01	4.386e-01	0.358	-0.090	0.070	-2.060	4.207e-02	6.978e-02	1.156
SMARCA1	0.063	-0.111	2.353	1.913e-02	3.389e-02	1.470	-0.424	-0.454	0.261	7.947e-01	8.431e-01	0.074
SMARCA4	0.401	0.133	4.464	1.275e-05	4.995e-05	4.302	0.233	-0.068	4.315	3.313e-05	1.494e-04	3.826
SMARCB1	0.063	-0.111	2.353	1.913e-02	3.389e-02	1.470	-0.424	-0.454	0.261	7.947e-01	8.431e-01	0.074
SMURF2	-0.702	-0.111	-4.594	6.750e-06	2.899e-05	4.538	-0.779	0.112	-4.458	2.070e-05	9.545e-05	4.020
SNAI1	-0.267	0.072	-5.240	3.543e-07	1.964e-06	5.707	-0.445	-0.121	-4.188	5.510e-05	2.263e-04	3.645
SNAI2	-0.225	-0.083	-2.797	5.557e-03	1.158e-02	1.936	-0.196	-0.070	-1.991	4.869e-02	7.909e-02	1.102
SND1	-0.739	-0.368	-2.402	1.714e-02	3.106e-02	1.508	-0.307	0.018	-1.746	8.343e-02	1.288e-01	0.890
SOX10	-0.031	-0.007	-0.689	4.915e-01	5.582e-01	0.253	-0.085	0.013	-3.315	1.142e-03	3.127e-03	2.505
SOX11	-0.192	-0.030	-2.792	5.609e-03	1.164e-02	1.934	-0.001	-0.023	0.343	7.323e-01	7.903e-01	0.102
SOX17	-0.070	-0.016	-1.032	3.036e-01	3.792e-01	0.421	-0.000	0.067	-1.377	1.710e-01	2.361e-01	0.627
SOX2	-0.071	-0.015	-1.557	1.211e-01	1.718e-01	0.765	0.048	0.015	0.959	3.393e-01	4.188e-01	0.378
SOX4	0.402	0.016	4.976	1.361e-06	6.722e-06	5.173	0.169	-0.043	2.467	1.487e-02	2.843e-02	1.546
SOX6	1.050	0.340	8.707	1.255e-15	4.373e-14	13.359	0.869	0.130	9.450	2.612e-16	2.339e-14	13.631
SOX9	-0.029	-0.009	-1.003	3.167e-01	3.908e-01	0.408	-0.033	0.007	-2.065	4.095e-02	6.829e-02	1.166
SP1	-0.047	-0.031	-1.562	1.199e-01	1.704e-01	0.768	-0.060	-0.013	-3.992	1.097e-04	4.118e-04	3.385
SP100	0.122	0.205	-0.665	5.068e-01	5.695e-01	0.245	-0.247	0.123	-2.598	1.020e-02	2.068e-02	1.684
SP2	-0.007	0.278	-3.394	7.971e-04	2.065e-03	2.685	-0.146	0.063	-2.094	3.830e-02	6.438e-02	1.191
SP3	-0.077	-0.018	-3.405	7.825e-04	2.044e-03	2.689	-0.003	0.017	-1.042	2.998e-01	3.782e-01	0.422
SP4	0.368	0.103	5.507	9.145e-08	5.677e-07	6.246	0.151	0.053	1.685	9.464e-02	1.437e-01	0.843
SP7	0.161	0.005	2.291	2.283e-02	3.954e-02	1.403	-0.157	-0.074	-1.146	2.538e-01	3.315e-01	0.479
SPDEF	0.585	0.063	7.270	6.023e-12	1.049e-10	9.979	0.418	0.080	3.578	5.061e-04	1.518e-03	2.819
SPEN	0.651	0.090	8.060	2.563e-14	6.696e-13	12.174	0.468	0.027	4.825	4.250e-06	2.379e-05	4.624
SPI1	0.045	-0.009	1.806	7.218e-02	1.101e-01	0.958	0.128	-0.029	3.985	1.077e-04	4.069e-04	3.390
SPIB	0.086	-0.033	1.198	2.322e-01	3.052e-01	0.515	-0.351	-0.203	-1.284	2.011e-01	2.711e-01	0.567
SPIC	-0.209	-0.187	-0.526	5.994e-01	6.594e-01	0.181	-0.110	-0.099	-0.245	8.072e-01	8.514e-01	0.070
SRCAP	0.481	0.146	2.946	3.525e-03	7.728e-03	2.112	0.456	0.018	2.813	5.729e-03	1.265e-02	1.898
SREBF1	-0.042	0.032	-1.877	6.150e-02	9.497e-02	1.022	-0.264	0.074	-5.718	8.333e-08	6.786e-07	6.168
SREBF2	-0.127	-0.014	-3.622	3.651e-04	1.055e-03	2.977	-0.175	-0.065	-3.439	7.768e-04	2.245e-03	2.649
SRF	-0.163	-0.106	-1.077	2.828e-01	3.589e-01	0.445	-0.441	-0.106	-4.903	3.406e-06	1.977e-05	4.704
SRSF1	0.138	0.002	1.335	1.830e-01	2.473e-01	0.607	0.415	0.003	3.155	2.018e-03	5.207e-03	2.283
SRY	-0.022	-0.029	0.056	9.553e-01	9.677e-01	0.014	0.147	-0.076	1.601	1.120e-01	1.661e-01	0.780
SSB	-0.534	-0.063	-5.795	1.820e-08	1.297e-07	6.887	-0.027	0.159	-2.122	3.553e-02	6.105e-02	1.214
STAT1	0.152	0.080	3.393	8.102e-04	2.082e-03	2.682	0.085	0.022	2.737	7.181e-03	1.529e-02	1.816
STAT2	0.113	0.102	0.171	8.647e-01	8.947e-01	0.048	-0.573	-0.223	-3.623	4.423e-04	1.397e-03	2.855
STAT3	0.018	0.018	-0.003	9.975e-01	9.991e-01	0.000	-0.037	-0.029	-0.592	5.546e-01	6.300e-01	0.201
STAT4	-0.038	0.216	-3.862	1.470e-04	4.586e-04	3.339	-0.829	-0.194	-5.841	7.330e-08	6.128e-07	6.213
STAT5	-0.765	-0.245	-3.654	3.098e-04	9.119e-04	3.040	-1.056	-0.492	-3.353	1.045e-03	2.901e-03	2.537
STAT5A	-0.290	-0.064	-4.407	1.583e-05	6.091e-05	4.215	-0.408	-0.060	-6.125	9.525e-09	1.137e-07	6.944
STAT5B	-0.118	-0.101	-0.245	8.068e-01	8.459e-01	0.073	-0.299	-0.166	-1.654	1.004e-01	1.510e-01	0.821
STAT6	0.108	-0.040	4.756	3.736e-06	1.685e-05	4.773	-0.126	-0.116	-0.249	8.037e-01	8.498e-01	0.071
SUGP1	0.650	-0.075	4.421	1.383e-05	5.352e-05	4.271	0.218	-0.260	2.788	6.043e-03	1.320e-02	1.879
SUPT3H	-0.269	-0.315	0.371	7.109e-01	7.632e-01	0.117	0.423	0.124	2.539	1.214e-02	2.386e-02	1.622
SUZ12	-0.559	0.011	-4.341	1.936e-05	7.140e-05	4.146	-0.506	0.207	-3.243	1.539e-03	4.073e-03	2.390
TAF1	0.962	0.643	2.562	1.116e-02	2.153e-02	1.667	0.542	0.170	3.148	2.111e-03	5.402e-03	2.267
TAF4	-0.059	0.026	-2.849	4.684e-03	9.922e-03	2.003	-0.036	-0.039	0.093	9.259e-01	9.425e-01	0.026
TAL1	-0.168	-0.056	-2.413	1.656e-02	3.028e-02	1.519	0.179	0.028	2.790	6.107e-03	1.330e-02	1.876
TBP	0.183	-0.037	4.918	1.655e-06	7.920e-06	5.101	0.081	0.027	0.934	3.519e-01	4.327e-01	0.364
TBPL1	-0.007	-0.088	2.161	3.171e-02	5.269e-02	1.278	-0.067	-0.084	0.350	7.269e-01	7.860e-01	0.105
TBX2	-1.015	-0.502	-4.643	5.493e-06	2.375e-05	4.624	-0.171	0.115	-2.118	3.601e-02	6.105e-02	1.214
TBX21	-0.054	-0.009	-1.904	5.797e-02	8.996e-02	1.046	-0.131	-0.017	-3.874	1.714e-04	6.031e-04	3.220
TBX3	-1.015	-0.502	-4.643	5.493e-06	2.375e-05	4.624	-0.171	0.115	-2.118	3.601e-02	6.105e-02	1.214
TBX5	0.020	-0.074	2.124	3.451e-02	5.678e-02	1.246	-0.160	-0.185	0.396	6.924e-01	7.563e-01	0.121
TCF12	-0.533	0.087	-4.348	1.919e-05	7.140e-05	4.146	-0.784	-0.142	-4.171	5.559e-05	2.263e-04	3.645
TCF19	1.140	0.321	6.937	3.696e-11	4.930e-10	9.307	1.162	0.340	5.765	7.471e-08	6.163e-07	6.210
TCF3	0.474	0.240	5.284	3.003e-07	1.727e-06	5.763	0.249	0.094	3.515	6.156e-04	1.787e-03	2.748
TCF4	-0.266	-0.172	-2.229	2.696e-02	4.619e-02	1.335	-0.261	-0.075	-3.322	1.239e-03	3.348e-03	2.475
TCF7L2	-0.964	-0.294	-7.858	2.171e-13	4.694e-12	11.328	-1.280	-0.271	-8.572	1.393e-13	5.822e-12	11.235
TCFL5	0.561	0.148	3.075	2.338e-03	5.389e-03	2.269	0.359	0.011	2.040	4.368e-02	7.227e-02	1.141
TEAD1	0.370	0.017	3.213	1.492e-03	3.626e-03	2.441	0.200	-0.049	1.848	6.704e-02	1.064e-01	0.973
TEAD4	-0.889	0.187	-6.105	3.234e-09	2.816e-08	7.550	-0.805	0.234	-4.204	5.026e-05	2.144e-04	3.669
TEF	0.183	-0.364	2.337	2.017e-02	3.523e-02	1.453	0.389	-0.435	2.611	1.007e-02	2.068e-02	1.684
TFAP2A	0.077	-0.043	5.660	4.484e-08	2.929e-07	6.533	-0.011	-0.023	0.536	5.925e-01	6.670e-01	0.176
TFAP2B	0.302	-0.115	3.310	1.094e-03	2.744e-03	2.562	-0.121	0.034	-1.078	2.829e-01	3.605e-01	0.443
TFAP2C	0.103	-0.110	2.641	8.839e-03	1.748e-02	1.757	0.005	-0.031	0.486	6.275e-01	6.989e-01	0.156
TFAP4	0.495	0.269	3.583	4.214e-04	1.201e-03	2.920	0.306	0.057	3.941	1.369e-04	5.019e-04	3.299
TFCP2	0.364	-0.031	3.183	1.688e-03	4.035e-03	2.394	0.043	0.059	-0.104	9.174e-01	9.353e-01	0.029
TFDP1	-1.249	-0.308	-10.455	3.614e-20	4.532e-18	17.344	-1.240	-0.234	-8.837	5.021e-14	2.623e-12	11.581
TFDP3	0.762	0.367	3.480	5.975e-04	1.622e-03	2.790	0.732	0.181	4.277	3.732e-05	1.648e-04	3.783
TFPT	0.268	0.115	1.121	2.635e-01	3.386e-01	0.470	0.404	0.173	1.501	1.357e-01	1.957e-01	0.708
TGIF1	0.069	0.124	-0.632	5.278e-01	5.904e-01	0.229	-0.107	0.031	-1.678	9.542e-02	1.445e-01	0.840
THRA	0.157	0.276	-1.133	2.584e-01	3.327e-01	0.478	0.398	0.015	3.133	2.106e-03	5.402e-03	2.267
THRB	-0.301	0.297	-3.619	3.547e-04	1.030e-03	2.987	0.184	0.387	-1.156	2.497e-01	3.278e-01	0.484
TLE3	-0.119	0.127	-6.042	4.512e-09	3.627e-08	7.441	-0.223	-0.096	-2.553	1.191e-02	2.356e-02	1.628
TLX1	0.436	0.163	2.505	1.318e-02	2.483e-02	1.605	-1.048	-0.235	-5.157	1.522e-06	9.418e-06	5.026
TNFAIP3	-0.364	-0.063	-4.956	1.519e-06	7.396e-06	5.131	-0.257	-0.078	-2.809	5.811e-03	1.279e-02	1.893
TOB1	0.101	0.178	-1.452	1.479e-01	2.057e-01	0.687	-0.023	0.103	-2.001	4.752e-02	7.740e-02	1.111
TOP2B	0.070	-0.135	5.180	4.047e-07	2.187e-06	5.660	0.172	0.088	1.693	9.290e-02	1.414e-01	0.850
TP53	0.283	0.082	9.594	8.870e-18	5.561e-16	15.255	0.251	0.031	8.994	9.843e-15	6.857e-13	12.164
TP53BP1	-1.464	-0.308	-9.434	1.232e-17	5.941e-16	15.226	-1.547	-0.296	-9.936	8.254e-17	1.618e-14	13.791
TP63	0.137	0.106	0.495	6.207e-01	6.781e-01	0.169	0.224	0.023	2.539	1.241e-02	2.424e-02	1.615
TP73	0.257	0.430	-2.033	4.341e-02	6.961e-02	1.157	0.171	0.089	0.996	3.216e-01	4.009e-01	0.397
TRAF6	-0.889	0.187	-6.105	3.234e-09	2.816e-08	7.550	-0.805	0.234	-4.204	5.026e-05	2.144e-04	3.669
TRERF1	-0.195	-0.043	-2.721	6.882e-03	1.401e-02	1.854	-0.079	0.082	-2.645	9.076e-03	1.884e-02	1.725
TRIB3	-0.785	0.008	-5.005	1.242e-06	6.229e-06	5.206	-0.157	-0.003	-1.063	2.899e-01	3.679e-01	0.434
TRIM16	0.103	-0.013	2.412	1.680e-02	3.053e-02	1.515	-0.537	-0.104	-4.570	9.859e-06	4.867e-05	4.313
TRIM28	0.196	0.146	1.105	2.702e-01	3.458e-01	0.461	0.260	0.111	2.467	1.507e-02	2.872e-02	1.542
TRPS1	0.021	0.008	0.566	5.722e-01	6.350e-01	0.197	0.058	0.031	0.912	3.636e-01	4.445e-01	0.352
TRRAP	-0.196	-0.175	-0.191	8.488e-01	8.811e-01	0.055	-0.248	-0.287	0.350	7.270e-01	7.860e-01	0.105
TSC22D1	-0.400	0.161	-5.056	8.663e-07	4.381e-06	5.358	-0.513	-0.088	-3.399	9.129e-04	2.578e-03	2.589
TSC22D3	-1.078	-0.429	-6.234	3.627e-09	3.073e-08	7.512	-1.263	-0.310	-8.751	3.328e-14	1.897e-12	11.722
TSG101	0.235	-0.018	3.639	3.312e-04	9.703e-04	3.013	0.506	0.160	4.255	4.199e-05	1.828e-04	3.738
TTF2	0.143	0.156	-0.133	8.940e-01	9.174e-01	0.037	0.519	0.076	3.558	5.174e-04	1.532e-03	2.815
TWIST1	0.094	0.059	1.663	9.748e-02	1.411e-01	0.850	-0.108	-0.037	-2.169	3.216e-02	5.570e-02	1.254
TWIST2	0.218	0.061	4.152	4.474e-05	1.525e-04	3.817	0.011	-0.042	1.110	2.692e-01	3.437e-01	0.464
UHRF1	0.474	0.127	4.413	1.653e-05	6.282e-05	4.202	0.217	0.034	2.293	2.367e-02	4.240e-02	1.373
URI1	-0.361	-0.185	-1.692	9.213e-02	1.340e-01	0.873	-0.383	-0.113	-2.525	1.256e-02	2.424e-02	1.615
USF1	-0.023	-0.032	0.528	5.982e-01	6.592e-01	0.181	0.043	0.010	1.553	1.233e-01	1.802e-01	0.744
USF2	0.055	-0.022	3.053	2.533e-03	5.775e-03	2.238	0.078	0.007	2.926	4.037e-03	9.409e-03	2.026
VDR	0.178	0.082	3.496	5.824e-04	1.588e-03	2.799	0.081	0.034	1.394	1.658e-01	2.300e-01	0.638
VEZF1	-0.105	-0.076	-0.725	4.692e-01	5.388e-01	0.269	-0.115	-0.082	-0.756	4.509e-01	5.314e-01	0.275
VHL	0.040	0.076	-0.721	4.716e-01	5.406e-01	0.267	0.153	0.041	2.224	2.781e-02	4.884e-02	1.311
WT1	0.041	-0.012	3.146	1.862e-03	4.406e-03	2.356	0.060	-0.008	3.208	1.664e-03	4.365e-03	2.360
WWP1	-0.254	0.103	-5.778	2.078e-08	1.437e-07	6.843	-0.436	0.042	-6.627	5.111e-10	8.011e-09	8.096
WWTR1	-0.080	-0.090	0.143	8.862e-01	9.139e-01	0.039	0.057	-0.150	2.846	5.235e-03	1.177e-02	1.929
XBP1	-0.361	-0.214	-2.501	1.319e-02	2.483e-02	1.605	-0.243	-0.112	-2.560	1.151e-02	2.290e-02	1.640
XPC	0.102	0.084	0.374	7.087e-01	7.622e-01	0.118	0.180	-0.003	3.558	5.165e-04	1.532e-03	2.815
XRCC5	0.122	0.205	-0.665	5.068e-01	5.695e-01	0.245	-0.247	0.123	-2.598	1.020e-02	2.068e-02	1.684
YBX1	0.307	0.081	5.548	9.482e-08	5.829e-07	6.234	0.415	0.111	6.333	5.963e-09	7.630e-08	7.117
YEATS4	-0.450	-0.009	-3.491	5.793e-04	1.586e-03	2.800	0.667	0.028	4.559	1.365e-05	6.484e-05	4.188
YY1	-0.006	0.013	-1.189	2.357e-01	3.079e-01	0.512	-0.008	0.009	-0.976	3.310e-01	4.110e-01	0.386
ZBTB14	0.476	0.405	0.478	6.334e-01	6.895e-01	0.161	-0.705	-0.044	-3.629	4.475e-04	1.403e-03	2.853
ZBTB16	0.548	0.088	5.915	9.825e-09	7.248e-08	7.140	0.665	0.039	7.188	5.763e-11	1.445e-09	8.840
ZBTB17	-1.661	-1.117	-2.449	1.515e-02	2.777e-02	1.556	-0.802	-0.242	-2.613	1.029e-02	2.068e-02	1.684
ZBTB2	-0.458	-0.297	-2.586	1.027e-02	2.006e-02	1.698	0.024	-0.062	1.361	1.760e-01	2.425e-01	0.615
ZBTB5	-1.661	-1.117	-2.449	1.515e-02	2.777e-02	1.556	-0.802	-0.242	-2.613	1.029e-02	2.068e-02	1.684
ZBTB7A	-0.051	-0.109	0.752	4.527e-01	5.237e-01	0.281	0.551	0.121	3.724	3.083e-04	1.001e-03	2.999
