	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
CRX	0.112	0.014	6.427	7.450e-10	7.917e-09	8.101	0.141	0.037	5.824	5.891e-08	5.130e-07	6.290
CTBP1	0.517	0.177	5.133	6.491e-07	3.364e-06	5.473	0.548	0.048	6.942	2.269e-10	4.068e-09	8.391
CTCF	-0.103	-0.040	-1.772	7.747e-02	1.163e-01	0.934	-0.070	0.035	-2.330	2.139e-02	3.865e-02	1.413
CTCFL	0.160	0.274	-0.915	3.613e-01	4.390e-01	0.358	-0.126	0.010	-0.949	3.443e-01	4.241e-01	0.373
CTNNB1	0.108	0.064	1.108	2.689e-01	3.448e-01	0.462	0.039	-0.001	0.750	4.552e-01	5.355e-01	0.271
CUX1	0.111	0.021	0.802	4.232e-01	4.969e-01	0.304	0.121	-0.081	1.717	8.781e-02	1.343e-01	0.872
DACH1	-0.133	0.018	-1.780	7.650e-02	1.156e-01	0.937	0.073	0.022	0.408	6.844e-01	7.489e-01	0.126
DAXX	0.030	0.098	-1.424	1.557e-01	2.155e-01	0.667	0.140	0.115	0.482	6.305e-01	7.002e-01	0.155
DBP	0.077	-0.111	3.393	7.922e-04	2.061e-03	2.686	0.167	0.038	2.025	4.488e-02	7.367e-02	1.133
DDB2	-0.279	-0.223	-0.770	4.419e-01	5.140e-01	0.289	-0.273	-0.081	-2.455	1.533e-02	2.905e-02	1.537
DDIT3	-0.026	-0.005	-0.964	3.359e-01	4.105e-01	0.387	0.113	0.034	2.751	6.828e-03	1.466e-02	1.834
DEAF1	-0.126	-0.033	-2.471	1.417e-02	2.652e-02	1.576	-0.019	0.031	-1.129	2.613e-01	3.380e-01	0.471
DEK	-0.233	-0.017	-4.702	3.814e-06	1.708e-05	4.768	-0.061	-0.019	-0.702	4.833e-01	5.622e-01	0.250
DENND4A	-0.481	-0.008	-4.488	1.241e-05	4.896e-05	4.310	-0.880	-0.407	-2.689	8.439e-03	1.776e-02	1.751
DLX3	0.252	-0.305	3.415	7.365e-04	1.940e-03	2.712	-0.235	-0.395	0.917	3.606e-01	4.416e-01	0.355
DLX4	1.415	0.300	9.438	1.210e-17	5.941e-16	15.226	1.496	0.288	9.720	2.601e-16	2.339e-14	13.631
DLX5	0.078	0.063	0.140	8.891e-01	9.141e-01	0.039	-0.231	-0.037	-1.331	1.863e-01	2.550e-01	0.593
DNMT1	0.025	-0.011	1.179	2.394e-01	3.113e-01	0.507	0.080	0.023	1.485	1.397e-01	1.990e-01	0.701
DNMT3A	0.363	0.274	0.806	4.211e-01	4.965e-01	0.304	-0.425	0.015	-3.903	1.462e-04	5.270e-04	3.278
DNMT3L	0.500	0.112	4.673	5.187e-06	2.274e-05	4.643	0.251	-0.196	4.845	3.297e-06	1.932e-05	4.714
DR1	0.340	0.054	4.357	1.961e-05	7.189e-05	4.143	-0.226	-0.178	-0.521	6.036e-01	6.759e-01	0.170
DUX4	-0.362	-0.300	-0.379	7.047e-01	7.592e-01	0.120	0.277	-0.314	2.938	3.903e-03	9.166e-03	2.038
E2F1	-0.342	-0.105	-10.373	7.973e-20	8.332e-18	17.079	-0.364	-0.079	-9.002	2.803e-14	1.758e-12	11.755
E2F3	-0.023	0.377	-3.095	2.269e-03	5.250e-03	2.280	-0.501	-0.050	-2.831	5.668e-03	1.256e-02	1.901
E2F4	0.914	0.200	10.722	1.581e-21	3.305e-19	18.481	1.074	0.300	9.463	1.736e-15	1.361e-13	12.866
E2F6	0.437	0.051	8.780	1.192e-15	4.373e-14	13.359	0.358	0.028	6.352	6.271e-09	7.864e-08	7.104
E2F7	0.806	0.177	8.426	1.351e-14	3.682e-13	12.434	0.820	0.125	7.187	1.448e-10	2.929e-09	8.533
E2F8	0.806	0.177	8.426	1.351e-14	3.682e-13	12.434	0.820	0.125	7.187	1.448e-10	2.929e-09	8.533
E4F1	3.022	0.668	11.398	2.715e-23	1.702e-20	19.769	3.160	0.507	10.106	1.032e-16	1.618e-14	13.791
EAF1	-0.117	-0.048	-2.197	2.888e-02	4.894e-02	1.310	-0.083	-0.076	-0.190	8.496e-01	8.849e-01	0.053
EAPP	-0.415	-0.165	-2.714	7.069e-03	1.430e-02	1.845	0.023	0.245	-2.192	2.992e-02	5.240e-02	1.281
EBF3	1.612	1.108	2.255	2.520e-02	4.328e-02	1.364	0.751	0.234	2.421	1.719e-02	3.226e-02	1.491
ECD	0.230	0.112	2.537	1.191e-02	2.276e-02	1.643	0.240	-0.007	5.767	4.369e-08	4.028e-07	6.395
EGR1	-0.066	-0.020	-2.388	1.784e-02	3.205e-02	1.494	-0.108	-0.013	-3.621	4.433e-04	1.397e-03	2.855
EGR2	-0.557	-0.180	-4.288	2.541e-05	9.053e-05	4.043	-0.364	-0.201	-1.574	1.179e-01	1.732e-01	0.762
EGR3	0.136	-0.067	4.505	1.005e-05	4.118e-05	4.385	0.374	0.034	5.434	2.506e-07	1.806e-06	5.743
EHF	-0.334	-0.079	-1.218	2.245e-01	2.964e-01	0.528	-0.452	-0.154	-1.417	1.591e-01	2.221e-01	0.653
EHMT2	-0.421	0.060	-5.693	3.303e-08	2.227e-07	6.652	-0.323	-0.147	-1.844	6.755e-02	1.068e-01	0.971
ELF1	0.248	0.008	3.776	2.108e-04	6.355e-04	3.197	0.161	-0.002	2.105	3.753e-02	6.342e-02	1.198
ELF2	-0.294	-0.064	-3.920	1.200e-04	3.858e-04	3.414	-0.441	-0.108	-5.749	5.779e-08	5.103e-07	6.292
