From	To
P01270	PTH
O95436	SLC34A2
Q9UNA0	ADAMTS5
P10828	THRB
P01117	K-RAS
Q15120	PDK3
P49810	PSEN2
Q9UIG8	SLCO3A1
O60840	CACNA1F
Q13546	RIPK1
P41594	GRM5
O75830	SERPINI2
O14836	TNFRSF13B
Q14833	GRM4
Q30167	HLA-DRB1
P39051	TPR
P24046	GABRR1
P16144	ITGB4
O76093	FGF18
P10242	MYB
Q9HCR9	PDE11A
P30550	GRPR
Q12948	FOXC1
Q96BI3	APH1A
Q8WW43	APH1B
Q9NZ42	PSENEN
Q92542	NCSTN
P38646	HSPA9
Q16719	KYNU
P43119	PTGIR
P49674	CSNK1E
P51813	BMX
