SM_LINCS_ID	SM_Center_Canonical_ID
LSM-1571	BRD-A45140972
LSM-1572	BRD-A45206415
LSM-1573	BRD-A45333398
LSM-1574	BRD-A45499626
LSM-1575	BRD-A45543382
LSM-1576	BRD-A45657137
LSM-1577	BRD-A45889380
LSM-1578	BRD-A46186775
LSM-1579	BRD-A46393198
LSM-1580	BRD-A46747628
LSM-1582	BRD-A47144777
LSM-1583	BRD-A47494775
LSM-1585	BRD-A47598013
LSM-1586	BRD-A47633927
LSM-1587	BRD-A47714657
LSM-1588	BRD-A47816767
LSM-1589	BRD-A48052484
LSM-1590	BRD-A48237631
LSM-1591	BRD-A48257147
LSM-1592	BRD-A48430263
LSM-1594	BRD-A48720949
LSM-1595	BRD-A48809242
LSM-1596	BRD-A49046702
LSM-1597	BRD-A49148672
LSM-1598	BRD-A49160188
LSM-1599	BRD-M58473998
LSM-1599	BRD-A49225603
LSM-1599	CGC00000566
LSM-1600	BRD-A49358627
LSM-1601	BRD-A49370193
LSM-1602	BRD-A49447682
LSM-1604	BRD-A49734948
LSM-1605	BRD-A49765801
LSM-1606	BRD-A49906757
LSM-1607	BRD-A50311610
LSM-1608	BRD-A50675702
LSM-1609	BRD-A50684349
LSM-1610	10359
LSM-1610	BRD-A50737080
LSM-1611	BRD-A50764878
LSM-1612	BRD-A50928468
LSM-1613	BRD-A51393488
LSM-1614	BRD-A51410489
LSM-1615	BRD-A51666293
LSM-1616	BRD-A51714012
LSM-1617	BRD-A51820102
LSM-1617	CGC00002000
LSM-1618	BRD-A51829654
LSM-1619	BRD-A51929314
LSM-1620	BRD-A52172093
LSM-1621	BRD-A52326238
LSM-1622	BRD-A52530684
LSM-1623	BRD-A52588987
LSM-1624	BRD-A52660433
LSM-1625	BRD-A52805806
LSM-1626	BRD-A53077924
LSM-1627	BRD-A53107311
LSM-1628	BRD-A53131506
LSM-1629	BRD-A53416814
LSM-1630	BRD-A53576514
LSM-1631	BRD-A54029483
LSM-1632	BRD-A54194844
LSM-1633	BRD-A54236247
LSM-1634	BRD-A54445976
LSM-1635	BRD-A54487287
LSM-1636	BRD-A54490543
LSM-1637	BRD-A54596827
LSM-1638	BRD-A54632525
LSM-1639	BRD-A54845972
LSM-1640	BRD-A54880345
